CodVisitante,Nome,CPF,Telefone,Endereco
5071,Marina Lemos,95175335735,86998889900,Rua dos Cajueiros 52, Teresina-PI
5072,Rodrigo Pires,15935775335,86999990011,Rua São José 24, Altos-PI
5073,Paula Viana,75395195115,86990001122,Rua das Flores 19, Timon-MA
5074,Igor Tavares,35715995195,86991112233,Rua Nova Aliança 41, Teresina-PI
5075,Flávia Costa,95135715915,86992223344,Rua Central 10, Altos-PI
5076,William Duarte,15975395175,86993334455,Rua das Américas 57, Timon-MA
5077,Manuela Ferreira,75315935735,86994445566,Rua Liberdade 31, Teresina-PI
5078,Paulo Victor Lima,35795175395,86995556677,Rua Frei Serafim 144, Teresina-PI
5079,Letícia Gomes,95115935735,86996667788,Rua Bela Aurora 28, Timon-MA
5080,César Matos,15995195115,86997778899,Rua Nova Esperança 12, Altos-PI
5081,Joana Prado,75335775395,86998889900,Rua Santo Antônio 50, Teresina-PI
5082,Felipe Duarte,35775335715,86999990011,Rua Lagoa Azul 18, Timon-MA
5083,Tatiana Lima,95175395115,86990001122,Rua do Mercado 32, Altos-PI
5084,Anderson Reis,15935795175,86991112233,Rua Central 19, Teresina-PI
5085,Mariana Figueiredo,75395175335,86992223344,Rua Bela Vista 75, Timon-MA
5086,Rafael Pacheco,35795135795,86993334455,Rua Boa Vista 92, Teresina-PI
5087,Beatriz Araújo,95115995135,86994445566,Rua Central 28, Altos-PI
5088,Leonardo Rocha,15995115995,86995556677,Rua Principal 80, Timon-MA
5089,Aline Costa,75335775315,86996667788,Rua das Acácias 12, Teresina-PI
5090,Pedro Moura,35775395175,86997778899,Rua das Flores 91, Timon-MA
5091,Camila Souza,95175315915,86998889900,Rua 3 de Maio 33, Teresina-PI
5092,Marcos Paulo,15935735775,86999990011,Rua Bela Vista 10, Altos-PI
5093,Sabrina Matos,75395115935,86990001122,Rua Aurora 40, Timon-MA
5094,Gustavo Cardoso,35715975375,86991112233,Rua Liberdade 60, Teresina-PI
5095,Lívia Castro,95135795135,86992223344,Rua Boa Esperança 28, Campo Maior-PI
5096,Caio Andrade,15975315975,86993334455,Rua Central 24, Altos-PI
5097,Caroline Santos,75315975315,86994445566,Rua São Pedro 16, Timon-MA
5098,Fernando Lima,35795135735,86995556677,Rua Bela Vista 70, Teresina-PI
5099,Laura Oliveira,95175395175,86996667788,Rua São José 81, Altos-PI
5100,José Ricardo,15935715995,86997778899,Rua Central 88, Timon-MA
